0.305	0.479	55
0.445	0.654	57
0.642	0.781	59
0.781	0.955	60
0.967	1.13	62
1.141	1.292	60
1.292	1.431	59
1.431	1.594	57
1.617	1.745	55
1.756	1.919	57
1.919	2.058	59
2.07	2.209	60
2.221	2.372	62
2.383	2.534	64
2.546	2.674	66
2.685	2.848	67
2.848	3.022	62
3.022	3.196	64
3.196	3.347	66
3.347	3.51	67
3.521	3.661	69
3.672	3.846	67
3.835	3.974	66
3.974	4.148	64
4.148	4.287	62
4.311	4.45	64
4.474	4.614	62
4.625	4.764	60
4.788	4.927	59
4.927	5.078	60
5.101	5.24	59
5.252	5.415	57
5.415	5.589	62
5.589	5.751	64
5.751	5.902	66
5.902	6.065	67
6.065	6.227	69
6.239	6.401	67
6.401	6.541	66
6.541	6.715	64
6.703	6.866	62
6.877	7.028	64
7.052	7.179	66
7.203	7.354	67
7.365	7.504	69
7.528	7.679	71
7.69	7.841	73
7.841	8.015	74
8.015	8.178	69
8.352	8.515	73
8.515	8.689	74
8.689	8.84	76
8.851	9.002	74
9.002	9.153	73
9.153	9.327	71
9.339	9.467	69
9.478	9.641	71
9.664	9.78	69
9.803	9.977	67
9.966	10.117	66
10.117	10.279	67
10.292	10.443	66
10.454	10.605	64
10.629	10.791	69
10.791	10.954	71
10.954	11.116	73
11.116	11.29	74
11.29	11.453	76
11.453	11.604	74
11.615	11.766	73
11.766	11.917	71
11.906	12.08	69
12.103	12.254	71
12.277	12.416	73
12.428	12.591	74
12.591	12.73	76
12.753	12.916	78
12.927	13.067	80
13.067	13.229	81
13.252	13.415	76
13.427	13.589	78
13.589	13.728	80
13.717	13.903	81
13.914	14.065	83
14.065	14.216	81
14.228	14.379	80
14.379	14.553	78
14.564	14.715	76
14.727	14.889	78
14.913	15.04	76
15.052	15.214	74
15.226	15.365	73
15.377	15.551	74
15.551	15.69	73
15.703	15.889	71
15.9	16.667	69
